,Price,Beds,Baths,SqFeet,Address,City,URL
0,"$579,000",6 beds,4 baths,"2,985 sq. ft",233 Farmington Cir,Roseville CA 95678,https://www.century21.com/property/233-farmington-cir-roseville-ca-95678-REN011163035
1,"$599,000",3 beds,2 baths,"2,362 sq. ft",1400 Dana Ct.,Roseville CA 95661,https://www.century21.com/property/1400-dana-ct--roseville-ca-95661-CBR51324682
2,"$529,000",3 beds,2 baths,"2,068 sq. ft",3128 Overton Way,Roseville CA 95747,https://www.century21.com/property/3128-overton-way-roseville-ca-95747-CBR51319001
3,"$509,000",3 beds,2 baths,"1,910 sq. ft",1932 Branding Iron Way,Roseville CA 95661,https://www.century21.com/property/1932-branding-iron-way-roseville-ca-95661-BHG50133447
4,"$500,000",4 beds,3 baths,"2,261 sq. ft",412 Community Dr,Roseville CA 95678,https://www.century21.com/property/412-community-dr-roseville-ca-95678-CBR51298680
5,"$510,000",4 beds,2 baths,"1,959 sq. ft",904 Deer Ct,Roseville CA 95661,https://www.century21.com/property/904-deer-ct-roseville-ca-95661-CBR51281115
6,"$564,950",3 beds,3 baths,"2,439 sq. ft",2300 Greatfield Drive,Roseville CA 95747,https://www.century21.com/property/2300-greatfield-drive-roseville-ca-95747-BHG50131419
7,"$519,000",3 beds,2 baths,"1,706 sq. ft",524 Cedar Spring Court,Roseville CA 95747,https://www.century21.com/property/524-cedar-spring-court-roseville-ca-95747-REN010931405
8,"$599,000",3 beds,2 baths,"2,524 sq. ft",509 Twain Court,Roseville CA 95747,https://www.century21.com/property/509-twain-court-roseville-ca-95747-CBR51227193
9,"$599,000",2 beds,2 baths,"1,630 sq. ft",7995 Auburn Folsom Road,Granite Bay CA 95746,https://www.century21.com/property/7995-auburn-folsom-road-granite-bay-ca-95746-CBR51159422
10,"$545,000",,,,2001 Stansfield Dr.,Roseville CA 95747,https://www.century21.com/property/2001-stansfield-dr--roseville-ca-95747-BHG50112883
11,"$549,900",4 beds,3 baths,"3,590 sq. ft",8655 Palaver Ct,Roseville CA 95747,https://www.century21.com/property/8655-palaver-ct-roseville-ca-95747-C2122136810
